#{"t_start": 1605291836.632368, "env_id": null}
r,l,t
-115,116,491.326246
-137,138,491.441932
-21,22,491.460509
-22,23,491.479631
-149,150,491.604891
-10,11,491.614285
-10,11,491.623524
-8,9,491.630935
-1,2,491.632649
-10,11,491.641643
-367,368,493.333925
-67,68,493.390662
-82,83,493.45913
-44,45,493.49551
-1,2,493.497217
-162,163,493.629357
-71,72,493.687949
-26,27,493.709815
-161,162,493.841388
-70,71,493.898667
-58,59,493.946281
-255,256,494.154843
-106,107,494.241643
-11,12,494.251457
-209,210,494.421302
-137,138,494.532507
-20,21,494.549493
-35,36,494.578547
-30,31,494.603631
-25,26,494.624942
-8,9,494.632279
-62,63,494.683072
-3,4,494.686398
-155,156,496.288926
-56,57,496.336577
-220,221,496.521061
-39,40,496.55447
-180,181,496.707107
-47,48,496.747555
-246,247,496.954785
-3,4,496.958259
-41,42,496.993596
-39,40,497.027262
-249,250,497.238629
-134,135,497.352207
-26,27,497.374934
-22,23,497.394328
-5,6,497.399457
-24,25,497.420881
-9,10,497.42937
-17,18,497.444539
-283,284,497.682935
-1,2,497.684728
-61,62,497.736975
-20,21,497.754707
-58,59,497.805929
-145,146,497.928749
-13,14,497.940645
-4,5,497.944932
-74,75,499.481849
-102,103,499.568
-15,16,499.581087
-198,199,499.742355
-184,185,499.89233
-48,49,499.932134
-135,136,500.0422
-337,338,500.316362
-13,14,500.327852
-18,19,500.34335
-164,165,500.477578
-12,13,500.48842
-9,10,500.496639
-81,82,500.562711
-4,5,500.566833
-200,201,500.728999
-32,33,500.755814
-11,12,500.76561
-48,49,500.805362
-11,12,500.815174
-62,63,500.866328
-94,95,500.94334
-12,13,500.953944
-26,27,500.975876
-67,68,501.031038
-72,73,501.090439
-100,101,502.592439
-29,30,502.616887
-13,14,502.628385
-40,41,502.661755
-31,32,502.68823
-171,172,502.827793
-34,35,502.856216
-38,39,502.887852
-41,42,502.921937
-138,139,503.035033
-88,89,503.108185
-30,31,503.133506
-159,160,503.26334
-46,47,503.301285
-36,37,503.331539
-94,95,503.40826
-39,40,503.440613
-160,161,503.575141
-137,138,503.692064
-65,66,503.747724
-10,11,503.757258
-2,3,503.759888
-18,19,503.775919
-62,63,503.828971
-1,2,503.830757
-38,39,503.863572
-250,251,504.082704
-54,55,504.129081
-560,561,506.214864
-120,121,506.333737
-13,14,506.349498
-126,127,506.481457
-3,4,506.485136
-8,9,506.494422
-36,37,506.5321
-164,165,506.700126
-262,263,506.963509
-143,144,507.103751
-7,8,507.114857
-97,98,507.207487
-74,75,507.279367
-7,8,507.286632
-43,44,507.328601
-132,133,507.449097
-62,63,507.50603
-16,17,507.520987
-35,36,507.553006
-147,148,507.689795
-31,32,507.719583
-100,101,509.493706
-153,154,509.626915
-59,60,509.679051
-72,73,509.741795
-59,60,509.79319
-67,68,509.851148
-41,42,509.886463
-9,10,509.894945
-166,167,510.03507
-123,124,510.141892
-100,101,510.231783
-164,165,510.375236
-41,42,510.410784
-27,28,510.435262
-71,72,510.497373
-187,188,510.65946
-45,46,510.700137
-15,16,510.713813
-11,12,510.724028
-31,32,510.751149
-91,92,510.82965
-92,93,510.905188
-62,63,510.95632
-311,312,511.216648
-171,172,512.982795
-182,183,513.218835
-112,113,513.35924
-212,213,513.61522
-82,83,513.720252
-1,2,513.722484
-46,47,513.781043
-38,39,513.828017
-188,189,514.0451
-138,139,514.188116
-258,259,514.455255
-45,46,514.50231
-159,160,514.661671
-8,9,514.670464
-42,43,514.713938
-20,21,514.734243
-18,19,514.752611
-11,12,514.763978
-248,249,514.999267
-83,84,516.663585
-15,16,516.677437
-33,34,516.707883
-165,166,516.851691
-332,333,517.131965
-38,39,517.16494
-21,22,517.183503
-41,42,517.220074
-33,34,517.248776
-275,276,517.479861
-15,16,517.492955
-83,84,517.561911
-2,3,517.56449
-45,46,517.603277
-5,6,517.608263
-37,38,517.640447
-224,225,517.826974
-38,39,517.858622
-43,44,517.894241
-19,20,517.910462
-110,111,518.000226
-30,31,518.025403
-13,14,518.036799
-9,10,518.044953
-23,24,518.064467
-111,112,518.157172
-26,27,518.181174
-15,16,518.195306
-355,356,520.15271
-146,147,520.314523
-9,10,520.326152
-19,20,520.347588
-59,60,520.409238
-84,85,520.499686
-39,40,520.541225
-63,64,520.608867
-70,71,520.707483
-39,40,520.768981
-6,7,520.785039
-106,107,521.076232
-39,40,521.151966
-55,56,521.239108
-51,52,521.312189
-17,18,521.336975
-17,18,521.363432
-11,12,521.386921
-12,13,521.409155
-187,188,521.694513
-98,99,521.83874
-217,218,522.173161
-84,85,522.303712
-117,118,522.479136
-23,24,522.513165
-10,11,522.534369
-137,138,522.743129
-27,28,522.822436
-19,20,522.857805
-200,201,525.902892
-319,320,526.431247
-71,72,526.543327
-85,86,526.694855
-334,335,527.173214
-112,113,527.349865
-72,73,527.470258
-58,59,527.558267
-107,108,527.716383
-334,335,528.203171
-22,23,528.238104
-26,27,528.271608
-84,85,528.394714
-48,49,528.462803
-27,28,528.513918
-242,243,528.87612
-31,32,531.722403
-8,9,531.735759
-44,45,531.801026
-58,59,531.896419
-78,79,532.014254
0,1,532.015924
-16,17,532.044671
-69,70,532.147665
-6,7,532.158822
-90,91,532.296617
-24,25,532.338599
-5,6,532.350249
-96,97,532.497132
-33,34,532.547441
-40,41,532.619891
-29,30,532.662369
-48,49,532.725392
-20,21,532.753544
-85,86,532.87576
-178,179,533.161445
-68,69,533.257977
-109,110,533.412768
-107,108,533.56121
-19,20,533.582737
-12,13,533.599013
-64,65,533.683707
-30,31,533.718228
-29,30,533.74945
-35,36,533.794108
-40,41,533.837325
-22,23,533.861366
-234,235,534.128767
-1,2,534.130983
-28,29,534.167393
-19,20,534.188952
-111,112,534.317536
-89,90,534.426297
-103,104,536.448736
-72,73,536.51484
-69,70,536.577078
-24,25,536.59974
-71,72,536.665734
-308,309,536.929681
-72,73,536.991027
-31,32,537.01798
-32,33,537.045725
-51,52,537.089508
-167,168,537.236454
-116,117,537.337417
-82,83,537.40532
-259,260,537.621147
-180,181,537.771462
-258,259,537.98183
-19,20,537.99811
-23,24,538.01758
-7,8,538.024135
-409,410,539.965922
-33,34,539.998097
-1,2,540.000121
-83,84,540.080023
-193,194,540.275958
